CODIGO DE PRODUCTO;DESCRIPCION; PRECIO ;LINEA
1347258;CALCOMANIA;5.63;
9H1288;STUD;6.88;
6B5278;PIN;5.69;
1869175;PRISIONERO;37.09;
1252941;VARILLAEMPUJE;10.30;
9Q3670;CORREASBANDEENV;116.26;
2166405;MANGUERAARM;80.48;
8J5863;SEALASSEM;30.42;
8T6885;SHRINKTUCM.;.42;
1U4019;INSERT-BRG;19.32;
3G6903;EMBOLO;13.43;
1070691;MAZA;3357.29;
1506613;CODOCLRBY;427.82;
2G6757;KNOB;16.87;
2G6748;KNOB;16.87;
2253100;PLACAESPACIADOR;567.05;
0R9940;ALTERNADOR;449.54;
6I2436;RETAINER;41.05;
1901672;BEARING-SPL;747.41;
2093149;GR.FILTROHIDRAULI;307.32;
1112108;PASADORA;541.12;
3W4902;CONJ.JGOCABLES;24.52;
8E0481;CONJ.JGOCABLES;961.69;
2451364;SELLOENFRIADOR;4.49;
2413853;CONJ.TAPA;174.63;
2301070;CARTER;5944.79;
2517660;REGULADORTE;18.31;
2443106;CONJ.TRANSMISORTE;33.93;
2465907;JGO.SELLOH.C;382.31;
2299969;CONJ.VIDRIOS;28.93;
2096638;AMPOLLETA;90.23;
2398037;MANGUERAARM;103.73;
2389824;MANGUERAARM;133.22;
2398038;MANGUERAARM;90.25;
2456835;JGO.SELLOH.C;198.06;
9W9311;CONJ.CUERPO;756.41;
2524459;TUBO;191.63;
4C3345;BROCAPUNTA;5.58;
6N2016;SPRING;155.68;
1221486;CONJ.JGOCABLES;221.61;
1370088;PISO;430.03;
2111046;CRUCETACARDAN;85.62;
0951527;O-RING;1.34;
0951538;O-RING;1.82;
1297857;GASKET;15.80;
1297859;BEARINGSET;46.07;
1297921;RING-RETAINI;1.66;
1297925;SEAL;11.97;
1297927;BEARING;111.74;
1733427;GUIDE-BALL;48.34;
1907674;SEAL-O-RING;5.73;
7T1819;MOUNTING;40.98;
2384936;MANGUERAARM;348.52;
2504246;ESLABONPASADOR;346.37;
1918396;BARANDA;13.73;
6G9713;CINTA;15.62;
1262016;PUMPG;1019.52;
8T3392;SELLOSTKMT.;6.27;
1129716;PALANCA;147.24;
8N5676;LINER-CYL;231.90;
8X2418;BARRA;34.44;
2533459;BOMBAAGUA;1196.01;
2008895;CONJ.SOPORTE;270.52;
1316679;GR.COMPRESOR;1774.57;
1488368;CODO;7.68;
5I7833;TAPON;5.31;
1414372;JGO.EMPAQUET.SUP;216.03;
8J7596;BEARING;76.72;
5T9627;CONJ.RETENEDOR;271.67;
4H2686;RING;10.27;
2342593;JGO.SELLOH.C;81.33;
9T2171;SEAT;18.07;
1760626;GOLILLA;6.74;
1180869;CONJ.PASADOR;197.47;
2260342;LEVA;7.36;
4J8820;SPACER;26.91;
8C8844;BOLT;9.76;
1419484;HARNESSAS;391.80;
2084539;ESPEJOCALEFACTOR;38.38;
1705335;CONJ.27-MOTOR;116.10;
1979354;ANILLOPISTON;21.12;
1944506;TUBO;95.55;
3E1814;FAROL;1.35;
3E2148;CONJ.INTERRUPTOR;167.78;
1789178;BOMBA;3186.31;
2220345;GR.CORREAS;152.91;
1R1807;FILTROLUBRICACION;16.34;
1R1808;FILTROACEITE;31.35;
2456831;JGO.SELLOH.C;202.08;
1324716;PROTECTOR;354.90;
1631882;FAROLROJO;20.43;
1726455;RIMAS;9130.60;
4C4512;VALVEAS;273.41;
4C4518;GUARD;134.48;
4I3308;PLATE;28.19;
7W9857;GASKET;8.54;
7W9856;GASKET;11.63;
2213406;GR.SENSORPR;488.16;
0665815;BUSHING;98.99;
10R2442;BOMBAHIDRAULICA;9050.90;
1546351;ABRAZADERA;51.07;
1546352;CONJ.SOPORTE;325.43;
9X7667;ACOPLE;34.96;
2465929;JGO.SELLOH.C;91.09;
2274914;GR.VALVULAMTG;5206.95;
7M9957;BULB;1.30;
1P0820;GRUPOEXTRACTORHI;1315.48;
4Z9188;CUCHILLA;507.27;
4E8852;MANILLADERECHO;322.75;
4E8892;HANDLERH;322.75;
7X0595;GOLILLA;2.55;
1901094;PLACA;64.30;
1361122;BUJE;10.30;
1274982;INTERRUPTORA;56.27;
1236371;ACTUADOR;9.13;
1542689;CRUCETA;541.99;
1835296;CULATA-MOTOR;5648.42;
7T7031;ESPACIADOR;91.62;
2396773;JGO.EMPAQUETADURA;707.04;
2354964;TURBO;1343.90;
1678984;GR.BATERIA;400.00;
2354972;CORREAS;20.01;
2318132;FILTROPAPER;37.20;
2330695;SELLOVALVULAC;25.76;
1493499;CONJ.ELEMENTO;83.95;
9X7344;GOLILLA;4.83;
7X4780;GOLILLA;5.24;
1155597;CONJ.CABLE;43.14;
6S1061;CABLEA;28.54;
0A3721;CLIP;9.10;
1919700;GR.BOMBAPSB;5302.54;
7I0517;CALCOMANIAINTERRU;6.05;
6Y5298;LINER;171.95;
6Y5286;LINER;145.52;
2471293;VALVULAHIDRAULICA;296.48;
2165478;CONJ.INYECTORF;119.90;
2209092;PUNTAPENK90;68.94;
8S7374;FILTROSISTAIRE;2.69;
7I7204;SELLO;1.19;
2040712;PERNO;.34;
2335220;GR.BOMBABEO;1006.87;
3E7427;ADAPTER;46.65;
4K5824;BOSS;8.04;
2456095;TUERCAHEXAGONAL;.29;
1081761;BEARING;556.05;
3E3282;GASKETKIT;14.19;
1078126;RODAMIENTO;227.89;
1564081;GOLILLA;33.86;
1564083;ESPACIADOR;53.80;
1873579;ESPACIADORRODMTO.;45.85;
2448990;RESORTE;222.54;
1021442;RETENEDOR;27.20;
1526862;TAPON;4.00;
1526864;CHAVETA;4.90;
2348937;SELLO;8.05;
1150549;MULTIPLE;519.02;
1887067;RESORTE;10.12;
1783998;SPRING;7.31;
6E4288;JGO.SELLO;23.38;
2336648;ARPR-MOTOR;8933.12;
1939269;SEALKIT-STD;131.00;
2306263;REGULADORTE;38.25;
1331963;VALVULAINTERRUP.;259.97;
1667871;TAPAGOMA;32.33;
2400717;JGO.TUBO;94.97;
4N4393;SEAL;5.32;
7C3910;CONJ.MANGUERA;21.58;
4W0806;MANGUERA;164.60;
1569421;CONJ.CHOQUE;180.26;
2136598;CONJ.MANGUERA;41.96;
2495541;TERMOSTATO;25.24;
1953164;SILENCIADORAIRE;18.71;
10R1698;GPO.-TURBO;5961.05;
1535960;TUERCA;.75;
1536856;PERNO;.94;
1652141;PERNO;1.62;
2152617;EMPAQUETADURA;2.60;
1541824;ABRAZADERAMANGUER;4.10;
1535961;PERNO;.75;
2054585;MANGUERA;29.70;
1495436;CUCHILLA;164.22;
8W0500;TUBEA;70.71;
2182226;CONJ.JGOCABLES;573.85;
1536873;PERNO;.71;
2172760;CONJ.TUBOCILINDRO;25.53;
2172761;CONJ.TUBOCILINDRO;25.31;
2172763;CONJ.TUBOCILINDRO;25.56;
